pitch_type,stuff_bin,release_height_bin,mean_velo,mean_ivb,mean_hb,mean_spin,mean_ivb_diff,mean_velo_diff,mean_release_x,mean_axis,avg_stuff_plus,count
ST,2,4,82.045,-0.368,11.652,2400.452,-0.92,-10.194,2.369,163.323,93.2,31
ST,3,1,82.284,1.209,12.215,2700.753,-0.318,-11.417,2.56,94.161,98.9,372
ST,3,2,81.911,-0.39,11.312,2572.279,-0.781,-11.097,2.236,119.23,98.8,122
ST,3,3,81.51,-1.976,12.069,2511.913,-1.077,-11.324,2.156,131.467,99,92
ST,3,4,81.554,-0.994,11.246,2393.607,-0.874,-10.564,2.308,239.143,98.7,28
ST,4,1,82.556,1.382,12.439,2705.623,-0.27,-11.081,2.519,94.203,104.1,414
ST,4,2,82.12,-0.526,11.412,2573.222,-0.848,-10.624,2.188,129.532,104,126
ST,4,3,81.395,-1.093,11.583,2504.661,-0.972,-11.215,2.15,153.873,103.9,118
ST,4,4,81.628,-1.879,11.164,2415.969,-0.979,-10.594,2.159,201.719,104,32
ST,5,1,82.24,1.141,12.45,2700.943,-0.265,-10.957,2.526,96.491,113.9,544
ST,5,2,82.079,-0.967,11.641,2587.925,-0.91,-11.02,2.183,140.128,112.9,133
ST,5,3,81.243,-1.505,11.874,2527.72,-1.046,-11.577,1.922,119.015,113,132
ST,5,4,81.93,-1.381,11.872,2426.319,-0.941,-10.296,2.217,154.957,114,47
SV,1,1,80.285,-5.916,9.408,2314.2,-1.161,-12.287,1.708,253.8,79.8,20
SV,1,2,80.488,-5.07,11.1,2695.375,-1.387,-13.237,1.488,285.25,65,8
SV,1,3,80.458,-2.243,13.207,2838.583,-1.319,-13.038,1.656,223.917,64.5,36
SV,1,4,80.877,-4.062,12.249,2824.308,-1.522,-13.084,1.615,182.769,65.1,13
SV,2,1,81.08,-5.384,8.792,2251.2,-1.144,-11.15,1.818,246.467,93.8,15
SV,2,2,82.15,-3.09,10.26,2740.5,-1.323,-11.882,1.433,315,93.4,4
SV,2,3,81.164,-4.353,12.6,2790.227,-1.517,-12.547,1.695,170.545,93.7,22
SV,2,4,80.256,-0.493,10.947,2801,-1.046,-13.846,1.458,231.556,94.5,9
SV,3,1,80.43,-6.132,9.72,2410.5,-1.24,-11.788,1.712,220.8,99,10
SV,3,2,80.48,-3.072,10.344,2328.8,-1.283,-12.134,1.712,312,99.3,5
SV,3,3,80.842,-2.94,11.79,2772.083,-1.394,-12.529,1.702,237.708,98.3,24
SV,3,4,80.3,-4.176,12.072,2777.6,-1.534,-13.637,1.582,196.6,98.1,5
SV,4,1,81.188,-3.817,8.752,2378.812,-1.004,-11.068,1.741,220.875,104.2,16
SV,4,2,80.34,-4.152,8.064,2501,-1.395,-11.135,1.97,203.2,104.7,5
SV,4,3,80.812,-2.28,12.113,2886.938,-1.342,-12.601,1.502,268.5,104.6,16
SV,4,4,81.14,-2.88,9.6,2785.8,-1.316,-12.911,1.608,210.6,104.9,5
SV,5,1,82.891,-3.916,8.864,2346.545,-0.94,-9.192,1.691,205.545,115.1,22
SV,5,2,79.75,-2.79,8.49,2412.25,-1.216,-12.346,1.931,274.5,110.7,8
SV,5,3,81.195,-1.606,12,2917.524,-1.245,-12.088,1.535,278,112.9,21
SV,5,4,80.907,-3.784,12.568,2852.133,-1.466,-13.224,1.501,236.867,112.9,15
